Norsk eksport av fisk totalt per marked;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
Fiskehoder, -haler og svømmeblærer, tørket/saltet/røykt; 907 ; 25 263 ; 27,86 ; 2 888 ; 81 864 ; 28,35 ; 2 974 ; 63 676 ; 21,41 
Ørret, oppdrettet, fryst hel med hode; 128 ; 10 876 ; 84,69 ; 869 ; 70 056 ; 80,63 ; 1 548 ; 101 266 ; 65,40 
Fiskerogn, tilberedt/konservert, sukkersaltet, ikke fryst; 441 ; 22 523 ; 51,05 ; 1 269 ; 63 584 ; 50,09 ; 1 766 ; 68 644 ; 38,87 
Ørret, fryst filet; 137 ; 12 877 ; 94,24 ; 603 ; 61 824 ; 102,47 ; 1 094 ; 108 689 ; 99,32 
Lange, klippfisk, ikke filet; 329 ; 20 445 ; 62,19 ; 885 ; 58 258 ; 65,81 ; 1 160 ; 55 379 ; 47,75 
Lange, saltet filet; 19 ; 1 396 ; 74,91 ; 888 ; 56 386 ; 63,50 ; 976 ; 49 228 ; 50,46 
Sei, fryst filetblokk; 146 ; 8 532 ; 58,56 ; 853 ; 53 013 ; 62,16 ; 174 ; 6 882 ; 39,50 
Andre krepsdyr og mel/pellets til menneskeføde, fersk;;; . ; 18 859 ; 47 099 ; 2,50 ; 25 807 ; 64 454 ; 2,50 
NVG-sild, fersk hel*;;; . ; 5 770 ; 47 097 ; 8,16 ; 6 110 ; 41 989 ; 6,87 
Medisintran, ikke faste fraksjoner; 39 ; 5 197 ; 132,97 ; 324 ; 46 208 ; 142,63 ; 359 ; 42 614 ; 118,62 
Lodde, rogn/lever/melke, fryst; 384 ; 23 806 ; 61,93 ; 513 ; 40 315 ; 78,65 ; 573 ; 77 576 ; 135,32 
Annen fiskerogn/-lever/-melke, fryst; 648 ; 18 075 ; 27,88 ; 962 ; 38 176 ; 39,67 ; 1 068 ; 41 789 ; 39,12 
Sildelapper, fryste, nordsjøsild; 132 ; 2 251 ; 17,10 ; 2 213 ; 37 897 ; 17,13 ; 2 790 ; 40 325 ; 14,45 
Sild, rogn/lever/melke, fryst; 130 ; 7 542 ; 58,16 ; 500 ; 37 485 ; 74,97 ; 941 ; 64 183 ; 68,23 
Vassild, fryst hel*; 702 ; 7 500 ; 10,69 ; 3 119 ; 37 285 ; 11,96 ; 4 268 ; 41 225 ; 9,66 
Sei, saltet hel, ikke biprodukter; 130 ; 5 129 ; 39,35 ; 975 ; 37 234 ; 38,19 ; 738 ; 22 806 ; 30,91 
Taggmakrell (hestemakrell), fryst hel*; 234 ; 7 325 ; 31,27 ; 1 316 ; 36 308 ; 27,59 ; 1 790 ; 36 609 ; 20,45 
Kveite, atlanterhavs-/stillehavs-, ikke oppdrettet, fersk hel*; 92 ; 8 718 ; 94,89 ; 352 ; 35 422 ; 100,56 ; 306 ; 29 978 ; 97,96 
Reker, kaldtvanns-, rå, fryst; 89 ; 2 645 ; 29,65 ; 1 306 ; 32 891 ; 25,18 ; 214 ; 5 596 ; 26,16 
Annen fiskerogn/-lever/-melke, tørket/røykt/saltet; 134 ; 6 849 ; 51,26 ; 602 ; 32 342 ; 53,74 ; 571 ; 24 390 ; 42,72 
Fiskefinner og andre biprodukter ellers, tørket/saltet/røykt; 278 ; 7 101 ; 25,54 ; 1 172 ; 32 153 ; 27,43 ; 1 027 ; 19 818 ; 19,30 
Hyse, fersk filet; 57 ; 5 534 ; 97,59 ; 308 ; 30 679 ; 99,66 ; 284 ; 23 532 ; 82,76 
Sjøkreps, levende; 24 ; 11 051 ; 459,58 ; 66 ; 30 475 ; 460,37 ; 33 ; 13 425 ; 407,22 
Sild, fryst filet med skinn; 40 ; 801 ; 20,21 ; 1 626 ; 29 568 ; 18,18 ; 1 063 ; 18 437 ; 17,34 
Lyr, fersk hel; 295 ; 12 818 ; 43,38 ; 601 ; 29 122 ; 48,48 ; 549 ; 22 048 ; 40,15 
Laks, atlanterhavs-/donau-, oppdrettet, fryst hel, ikke med hode/spiselige biprodukter; 203 ; 7 471 ; 36,77 ; 447 ; 27 977 ; 62,61 ; 270 ; 12 440 ; 46,09 
Annen tran*; 41 ; 5 518 ; 134,59 ; 249 ; 27 437 ; 110,28 ; 168 ; 17 020 ; 101,17 
Sild, tilberedt/konservert, hel/stykker, kryddersaltet; 194 ; 4 417 ; 22,79 ; 1 185 ; 27 352 ; 23,09 ; 559 ; 13 192 ; 23,58 
Sei, fryst filet, ikke blokk; 30 ; 2 221 ; 72,89 ; 414 ; 26 999 ; 65,22 ; 479 ; 25 891 ; 54,08 
Torsk, fryste spiselige biprodukter; 600 ; 16 327 ; 27,20 ; 1 199 ; 26 783 ; 22,34 ; 1 361 ; 20 904 ; 15,36 
Reker, kaldtvanns-, kokte med skall, fryst; 188 ; 12 687 ; 67,57 ; 428 ; 26 713 ; 62,48 ; 153 ; 5 913 ; 38,66 
Torsk, saltet filet; 106 ; 11 259 ; 105,87 ; 264 ; 25 983 ; 98,51 ; 225 ; 18 408 ; 81,91 
Steinbit, fryst hel*; 156 ; 2 606 ; 16,69 ; 1 719 ; 24 613 ; 14,32 ; 1 239 ; 11 502 ; 9,28 
Annet mel/- pellets, spiselig; 131 ; 6 026 ; 46,01 ; 391 ; 24 543 ; 62,83 ; 443 ; 21 338 ; 48,12 
Torskefisker, tørrfisk/klippfisk andre; 59 ; 3 664 ; 62,32 ; 350 ; 22 104 ; 63,16 ; 615 ; 24 424 ; 39,71 
Reker, kokte med skall; 27 ; 3 544 ; 131,59 ; 181 ; 21 023 ; 116,21 ; 110 ; 16 180 ; 146,49 
Breiflabb, fersk hel*; 62 ; 4 072 ; 65,99 ; 278 ; 20 211 ; 72,69 ; 174 ; 11 886 ; 68,31 
Hyse, fryst filet, ikke blokk; 25 ; 1 844 ; 74,80 ; 231 ; 19 996 ; 86,62 ; 404 ; 34 599 ; 85,64 
Sild, saltet filet; 99 ; 2 476 ; 25,00 ; 831 ; 19 372 ; 23,31 ; 1 139 ; 23 853 ; 20,95 
Torsk, andre ferske spiselige biprodukter; 43 ; 3 575 ; 83,95 ; 204 ; 17 692 ; 86,87 ; 294 ; 16 823 ; 57,20 
Andre sjøprodukter (herunder befruktet rogn til klekking), ikke til menneskeføde/ikke til dyrefôr;;; . ; 532 ; 17 634 ; 33,12 ; 902 ; 29 765 ; 33,01 
Nordsjøsild, fryst hel*; 50 ; 848 ; 16,97 ; 1 578 ; 17 181 ; 10,89 ; 1 491 ; 16 643 ; 11,17 
Blåkveite, fryste spiselige biprodukter; 19 ; 898 ; 46,84 ; 352 ; 15 649 ; 44,46 ; 201 ; 7 443 ; 36,97 
Reker, tilberedt/konservert, pillede, i lake; 22 ; 2 463 ; 111,21 ; 149 ; 15 556 ; 104,69 ; 84 ; 9 732 ; 115,27 
Sei, fersk filet; 22 ; 1 810 ; 81,70 ; 208 ; 15 529 ; 74,78 ; 130 ; 7 575 ; 58,20 
Lange, fersk hel; 179 ; 4 625 ; 25,87 ; 528 ; 15 432 ; 29,23 ; 443 ; 10 572 ; 23,87 
Fiskefett og oljer, annen, ikke til dyrefôr/ikke tran; 223 ; 5 759 ; 25,84 ; 639 ; 14 243 ; 22,27 ; 1 109 ; 16 774 ; 15,13 
Uer, fersk hel*; 98 ; 3 714 ; 37,74 ; 386 ; 14 030 ; 36,37 ; 306 ; 9 572 ; 31,29 
Annen fisk, andre fryste spiselige biprodukter; 246 ; 3 698 ; 15,06 ; 1 064 ; 13 663 ; 12,85 ; 1 349 ; 13 279 ; 9,84 
Fiskeavfall, untatt industrifisk/ikke til menneskeføde, ikke til dyrefôr;;; . ; 22 165 ; 13 381 ; 0,60 ; 27 836 ; 12 819 ; 0,46 
Brosme, tørrfisk, ikke filet; 20 ; 2 402 ; 119,68 ; 127 ; 13 076 ; 102,70 ; 95 ; 8 445 ; 89,21 
Torsk, tørrfisk, annen rund, ikke biprodukter; 10 ; 2 910 ; 289,08 ; 74 ; 13 012 ; 174,72 ; 33 ; 5 078 ; 155,98 
Sild, fryst filet uten skinn ellers;;; . ; 762 ; 12 841 ; 16,85 ; 42 ; 653 ; 15,40 
Lysing (hake), fersk hel*; 106 ; 5 370 ; 50,65 ; 257 ; 12 787 ; 49,70 ; 176 ; 8 261 ; 46,82 
Krabbe, ikke kongekrabbe/snøkrabbe, fryst, også røykt; 85 ; 8 064 ; 95,17 ; 122 ; 12 478 ; 102,37 ; 87 ; 3 960 ; 45,73 
Andre sjøprodukter, til dyrefôr;;; . ; 12 876 ; 11 416 ; 0,89 ; 14 403 ; 10 147 ; 0,70 
Fiskerogn/-lever/-melke, fersk; 59 ; 2 329 ; 39,74 ; 222 ; 11 115 ; 49,98 ; 332 ; 12 401 ; 37,30 
Makrell, 600 g og over, fryst hel*; 52 ; 1 732 ; 33,20 ; 341 ; 10 486 ; 30,80 ; 543 ; 14 605 ; 26,90 
Torsk, grønnlands-/stillehavs-, klippfisk, ikke biprodukter; 8 ; 156 ; 19,13 ; 95 ; 9 948 ; 104,55 ; 77 ; 5 907 ; 77,12 
Røye, fersk hel*; 33 ; 3 102 ; 93,29 ; 106 ; 9 880 ; 92,86 ; 74 ; 5 620 ; 75,72 
Lange, saltet hel, ikke biprodukter; 27 ; 1 408 ; 51,41 ; 177 ; 9 734 ; 55,08 ; 203 ; 7 905 ; 38,93 
Tran, faste fraksjoner, ikke til dyrefôr;;; . ; 182 ; 8 857 ; 48,53 ; -   ; -   ; . 
Sild, fryst filet uten skinn av nordsjøsild; 76 ; 1 372 ; 18,12 ; 468 ; 8 371 ; 17,87 ; 454 ; 8 481 ; 18,68 
Annen fisk, fryst fiskekjøtt, ikke surimi*; 19 ; 563 ; 30,40 ; 287 ; 8 245 ; 28,77 ; 190 ; 4 006 ; 21,03 
Sardin/sardinella/brisling, fryst hel*; 91 ; 1 423 ; 15,57 ; 518 ; 8 055 ; 15,55 ; 968 ; 11 043 ; 11,41 
Hyse, fryst filetblokk; 20 ; 1 630 ; 83,09 ; 108 ; 7 936 ; 73,51 ; -   ; -   ; . 
Torsk, tørrfisk, rotskjær, ikke biprodukter; 22 ; 7 039 ; 326,76 ; 23 ; 7 277 ; 320,03 ; 29 ; 2 271 ; 78,56 
Sei, tørrfisk, rundfisk, ikke filet; 8 ; 957 ; 112,90 ; 71 ; 7 219 ; 101,54 ; 72 ; 5 940 ; 82,89 
Sjøkreps, fryst; 3 ; 968 ; 333,70 ; 18 ; 7 011 ; 381,31 ; 1 ; 297 ; 329,41 
Rødspette, fersk hel*; 56 ; 1 813 ; 32,38 ; 176 ; 6 631 ; 37,58 ; 176 ; 5 554 ; 31,52 
Kaviaretterlikninger, fra fiskeegg; 13 ; 855 ; 64,44 ; 75 ; 6 625 ; 87,99 ; 120 ; 8 286 ; 69,25 
Kveite, atlanterhavs-/stillehavs-, fryst hel*; 18 ; 1 753 ; 96,75 ; 69 ; 6 501 ; 94,31 ; 39 ; 2 118 ; 54,71 
Kamskjell, pecten maximus, levende/fersk; 22 ; 2 205 ; 99,64 ; 68 ; 6 490 ; 95,77 ; 75 ; 5 637 ; 74,73 
Reker, kaldtvanns-, rå; 32 ; 648 ; 20,15 ; 300 ; 6 277 ; 20,89 ; 106 ; 2 658 ; 25,18 
Laks, tilberedt/konservert, hel/stykker, ikke gravet, vakuumpakket; 5 ; 1 136 ; 224,41 ; 31 ; 5 511 ; 175,03 ; 43 ; 5 829 ; 134,47 
Andre torskefisker, fryst hel*; 46 ; 1 931 ; 42,05 ; 127 ; 5 015 ; 39,40 ; 224 ; 6 445 ; 28,75 
Sardin/sardinella/brisling, fersk hel*;;; . ; 505 ; 4 759 ; 9,43 ; 310 ; 2 863 ; 9,23 
Lange, tørket filet; 16 ; 2 013 ; 127,11 ; 19 ; 4 537 ; 234,82 ; 3 ; 298 ; 85,89 
Piggvar, oppdrettet, fersk hel*; 8 ; 852 ; 110,76 ; 37 ; 4 358 ; 116,36 ; 32 ; 3 715 ; 116,00 
Steinbit, fersk hel*; 27 ; 1 153 ; 43,09 ; 94 ; 4 302 ; 45,72 ; 52 ; 1 846 ; 35,73 
Krabbe, tilberedt/konservert; 16 ; 2 466 ; 151,38 ; 35 ; 4 110 ; 117,85 ; 61 ; 5 523 ; 90,80 
Laks, atlanterhavs-/donau-, ikke oppdrettet, fryst hel; 61 ; 4 095 ; 66,73 ; 61 ; 4 095 ; 66,73 ;;; . 
Annet fiskeavfall, til dyrefôr;;; . ; 1 218 ; 4 030 ; 3,31 ; 1 803 ; 4 407 ; 2,44 
Ørret, oppdrettet, fersk hel, ikke med hode; 21 ; 1 750 ; 83,98 ; 66 ; 3 922 ; 59,10 ; -   ; -   ; . 
Brosme, saltet filet; 1 ; 66 ; 84,54 ; 68 ; 3 862 ; 57,12 ; 128 ; 5 253 ; 41,01 
Fiskemel/-pellets, spiselig; 44 ; 3 679 ; 83,65 ; 44 ; 3 679 ; 83,65 ;;; . 
Torsk, fryst fiskekjøtt; 81 ; 2 030 ; 25,17 ; 143 ; 3 480 ; 24,33 ; 124 ; 2 388 ; 19,31 
Reker, kaldtvanns-, fersk; 2 ; 40 ; 19,75 ; 29 ; 3 217 ; 110,92 ; 25 ; 3 764 ; 150,88 
Laks, tilberedt/konservert, hel/stykker, gravet; 1 ; 247 ; 269,49 ; 14 ; 2 961 ; 215,44 ; 8 ; 1 451 ; 177,14 
Annen fisk, tilberedt/konservert, hel/stykker, fryst*; 1 ; 136 ; 176,34 ; 23 ; 2 954 ; 129,34 ; 26 ; 1 567 ; 60,51 
Sild, tilberedt/konservert, hel/stykker, ikke kryddersaltet/eddikbehandlet; 51 ; 1 368 ; 26,94 ; 112 ; 2 919 ; 26,03 ; 240 ; 4 767 ; 19,82 
Torsk, tørrfisk, finnmarksrund, ikke biprodukter; 1 ; 89 ; 90,31 ; 26 ; 2 833 ; 110,65 ; 29 ; 4 545 ; 157,98 
Sjøpattedyr, fett, ikke til dyrefôr; 4 ; 2 760 ; 623,02 ; 4 ; 2 784 ; 626,68 ; -   ; -   ; . 
Andre torskefisker, fersk hel; 57 ; 1 070 ; 18,65 ; 139 ; 2 762 ; 19,86 ; 139 ; 2 811 ; 20,16 
Laks, atlanterhavs-/donau-, oppdrettet, fersk hel, ikke med hode*; 6 ; 191 ; 31,69 ; 33 ; 2 721 ; 82,77 ; 37 ; 3 258 ; 89,00 
Akvariefisk, saltvann, levende; 29 ; 2 588 ; 88,60 ; 29 ; 2 588 ; 88,60 ;;; . 
Torsk, tilberedt/konservert, hel/stykker, panert, fryst; -   ; 4 ; 111,67 ; 22 ; 2 360 ; 105,13 ; 110 ; 8 291 ; 75,14 
Torsk, oppdrettet/oppfôret, fersk filet; 18 ; 1 629 ; 92,92 ; 23 ; 2 359 ; 100,58 ; 3 ; 233 ; 68,82 
Annen flyndrefisk, fersk filet; -   ; 29 ; 176,29 ; 10 ; 2 136 ; 214,22 ; 9 ; 2 029 ; 237,47 
Sild, saltet hel, ikke biprodukter; 9 ; 155 ; 16,50 ; 118 ; 2 031 ; 17,21 ; 467 ; 6 976 ; 14,95 
Torskefisker, tørrfisk/klippfisk/saltfisk filet andre;;; . ; 27 ; 1 891 ; 70,29 ; 2 ; 66 ; 34,35 
Industrifisk (kolmule, tobis, øyepål o.l.), til dyrefôr;;; . ; 56 ; 1 777 ; 31,90 ; 35 ; 428 ; 12,42 
Makrell, fersk filet; -   ; 4 ; 119,12 ; 42 ; 1 733 ; 40,82 ; -   ; -   ; . 
Fiskehoder/avskjær, tørkete/revne (cuts), til dyrefôr;;; . ; 389 ; 1 615 ; 4,15 ; 705 ; 2 920 ; 4,14 
Fiskeboller, fiskekaker og fiskepudding, ikke fryst; 8 ; 368 ; 44,13 ; 31 ; 1 596 ; 52,23 ; 13 ; 525 ; 39,10 
Surimi, fryst*; 19 ; 1 420 ; 73,02 ; 19 ; 1 420 ; 73,02 ; -   ; -   ; . 
Annen fisk, ferskt fiskekjøtt; 8 ; 1 398 ; 165,04 ; 9 ; 1 406 ; 163,96 ; -   ; -   ; . 
Annen fisk, fryst hel*; 74 ; 1 077 ; 14,57 ; 81 ; 1 404 ; 17,33 ; 11 ; 168 ; 15,74 
Lysing (hake), fryst hel*;;; . ; 64 ; 1 361 ; 21,26 ; 51 ; 1 284 ; 25,39 
Laksefisk, ferskt fiskekjøtt; 8 ; 1 188 ; 145,07 ; 9 ; 1 358 ; 152,05 ; 1 ; 173 ; 153,12 
Languster, levende; -   ; 151 ; 397,96 ; 3 ; 1 324 ; 467,62 ; 2 ; 845 ; 388,47 
Andre torskefisker, fersk filet; 2 ; 193 ; 82,42 ; 15 ; 1 282 ; 85,39 ; 16 ; 1 167 ; 73,55 
Pigghå, fersk hel*; 25 ; 281 ; 11,43 ; 94 ; 1 231 ; 13,11 ; 47 ; 802 ; 16,97 
Makrell, tilberedt/konservert, hel/stykker; 3 ; 268 ; 77,70 ; 16 ; 1 169 ; 73,80 ; 2 ; 224 ; 110,85 
Annen fisk, fersk filet; 7 ; 608 ; 84,33 ; 13 ; 1 163 ; 89,98 ; -   ; 5 ; 143,74 
Sjøkreps, fersk; 4 ; 548 ; 156,29 ; 6 ; 1 137 ; 178,09 ; 4 ; 614 ; 145,16 
Annen fisk, andre ferske spiselige biprodukter; 8 ; 48 ; 5,80 ; 44 ; 1 128 ; 25,75 ; 84 ; 1 312 ; 15,65 
Blåkveite, fersk hel*; 7 ; 404 ; 57,84 ; 20 ; 1 081 ; 54,77 ; 25 ; 1 086 ; 43,37 
Steinbit, fryst filet; 135 ; 997 ; 7,38 ; 136 ; 1 078 ; 7,91 ; -   ; 5 ; 50,75 
Nordsjøsild, fersk hel*; -   ; 8 ; 21,37 ; 253 ; 1 066 ; 4,21 ; 2 393 ; 16 485 ; 6,89 
Tran/veterinærtran, til dyrefôr; 1 ; 524 ; 573,42 ; 7 ; 1 062 ; 146,47 ; 5 ; 1 942 ; 398,56 
Fiskefett og oljer, ikke til dyrefôr/ikke tran; 1 ; 441 ; 349,99 ; 25 ; 1 060 ; 41,81 ; 62 ; 2 221 ; 35,86 
Blekksprut, tiarmet, tørket/saltet, også røykt*; -   ; 16 ; 159,01 ; 26 ; 1 001 ; 38,25 ; 2 ; 316 ; 207,35 
Annen klippfisk; 15 ; 741 ; 48,06 ; 19 ; 981 ; 50,42 ; -   ; -   ; . 
Annen flyndrefisk, fersk hel*; 13 ; 384 ; 29,09 ; 28 ; 965 ; 33,98 ; 23 ; 638 ; 28,34 
Blekksprut, tiarmet, levende/fersk; 26 ; 530 ; 20,43 ; 38 ; 917 ; 24,00 ; 21 ; 416 ; 20,08 
Torskefisker, ferskt fiskekjøtt; 7 ; 305 ; 41,22 ; 25 ; 901 ; 36,20 ; 16 ; 613 ; 38,36 
Kongekrabbe, tørket/saltet, også kokt/røykt; -   ; 67 ; 838,31 ; 1 ; 864 ; 908,59 ; 1 ; 504 ; 698,66 
Kamskjell, fryst; 3 ; 396 ; 123,74 ; 6 ; 755 ; 119,37 ; -   ; 2 ; 92,06 
Sjøpattedyr, oljer, ikke spermolje/ikke til dyrefôr;;; . ; 2 ; 712 ; 403,95 ; 12 ; 5 596 ; 478,95 
Annen pelagisk fisk, fryst hel;;; . ; 23 ; 673 ; 29,61 ; -   ; 7 ; 16,67 
Fiskerogn, tilberedt/konservert, ikke sukkersaltet, ikke fryst; -   ; 8 ; 1 155,29 ; 12 ; 659 ; 56,29 ; 10 ; 336 ; 35,12 
Brosme, saltet hel, ikke biprodukter;;; . ; 17 ; 649 ; 38,98 ; 24 ; 625 ; 26,51 
Annen tørrfisk; 4 ; 408 ; 103,94 ; 8 ; 625 ; 75,60 ; -   ; -   ; . 
Snegler, ikke sjøsnegler, levende/fersk/fryst/tørket/saltet; 2 ; 90 ; 37,96 ; 14 ; 616 ; 43,64 ; 14 ; 727 ; 51,89 
Fiskeboller, fiskekaker og fiskepudding, fryst; 1 ; 81 ; 62,22 ; 16 ; 600 ; 37,21 ; 10 ; 402 ; 38,35 
Sei, fryst fiskekjøtt; 16 ; 296 ; 19,05 ; 25 ; 545 ; 21,55 ; 5 ; 105 ; 19,42 
Hyse, fryst fiskekjøtt; 7 ; 530 ; 77,17 ; 7 ; 530 ; 77,17 ; -   ; -   ; . 
Andre fiskeprodukter, tilberedt/konservert, ikke hel/stykker, ikke fryst*; 2 ; 248 ; 106,92 ; 5 ; 510 ; 110,51 ; 12 ; 578 ; 48,31 
Hummer, ikke amerikansk, levende; 1 ; 205 ; 333,38 ; 2 ; 507 ; 329,51 ; -   ; 42 ; 502,95 
Blåskjell, levende/fersk; 2 ; 128 ; 70,11 ; 9 ; 483 ; 51,21 ; 12 ; 424 ; 35,05 
Annen laksefisk, fersk hel*; 2 ; 381 ; 169,64 ; 2 ; 381 ; 169,64 ; -   ; -   ; . 
Østers, levende/fersk; 3 ; 118 ; 46,20 ; 4 ; 349 ; 99,77 ; 5 ; 436 ; 83,02 
Andre torskefisker, fryst filet; 3 ; 337 ; 103,93 ; 3 ; 340 ; 103,41 ; -   ; 6 ; 49,91 
Rødspette, fryst hel*;;; . ; 28 ; 322 ; 11,38 ; -   ; -   ; . 
Steinbit, fersk filet; -   ; 20 ; 188,46 ; 1 ; 302 ; 208,06 ; -   ; 19 ; 103,99 
Reker, tilberedt/konservert, vakuumpakket, pillede, i lake;;; . ; 3 ; 292 ; 114,32 ; -   ; -   ; . 
Flyndrefisk, ikke blåkveite, fryst filet;;; . ; 1 ; 260 ; 186,59 ; 1 ; 101 ; 180,96 
Ørret, ikke oppdrettet, fersk hel*; 2 ; 206 ; 131,41 ; 2 ; 206 ; 131,41 ;;; . 
Sardin/sardinella/brisling, tilberedt/konservert, hel/stykker, ikke røykt i olje/tomat; 1 ; 32 ; 22,33 ; 7 ; 205 ; 27,77 ; 493 ; 7 642 ; 15,50 
Languster, fersk;;; . ; 1 ; 204 ; 319,29 ; -   ; -   ; . 
Kråkebolle, levende/fersk;;; . ; 1 ; 188 ; 372,38 ; -   ; 99 ; 207,89 
Andre krepsdyr og mel/pellets til menneskeføde, fryst;;; . ; 6 ; 184 ; 33,12 ; 32 ; 742 ; 23,36 
Andre krepsdyr og mel/pellets til menneskeføde, tørket/saltet, også kokt/røykt; 1 ; 47 ; 77,96 ; 4 ; 174 ; 44,06 ; 27 ; 2 583 ; 95,99 
Rognkjeksrogn, saltet; 2 ; 149 ; 60,69 ; 3 ; 164 ; 65,25 ; 5 ; 326 ; 60,37 
Skate, fersk hel*; 1 ; 21 ; 18,29 ; 7 ; 159 ; 21,90 ; 10 ; 219 ; 21,58 
Torsk, grønnlands-/stillehavs-, fersk hel; 1 ; 25 ; 35,70 ; 4 ; 155 ; 37,47 ; 2 ; 177 ; 73,83 
Hyse, saltet hel, ikke biprodukter;;; . ; 4 ; 135 ; 36,87 ; 11 ; 324 ; 28,59 
Piggvar, ikke oppdrettet, fersk hel*; 1 ; 80 ; 79,85 ; 1 ; 129 ; 86,55 ; -   ; 8 ; 181,27 
Annen tunfisk/bukstripet pelamide, fryst filet;;; . ; -   ; 123 ; 273,97 ; -   ; 90 ; 258,75 
Sild, røykt, også filet, ikke biprodukter; -   ; 37 ; 231,70 ; 1 ; 119 ; 231,47 ; -   ; 85 ; 209,90 
Snøkrabbe, levende; -   ; 31 ; 300,44 ; -   ; 118 ; 302,66 ; 1 ; 314 ; 286,64 
Andre krepsdyr, tilberedt/konservert; -   ; 5 ; 320,00 ; 1 ; 114 ; 142,41 ; 1 ; 61 ; 85,20 
Haiolje, ikke til dyrefôr;;; . ; 1 ; 110 ; 100,75 ; -   ; -   ; . 
Skate/rokke, fryst hel*; 11 ; 108 ; 9,97 ; 11 ; 108 ; 9,97 ; 17 ; 743 ; 43,35 
Sjøpølse, levende/fersk;;; . ; -   ; 96 ; 1 332,64 ;;; . 
Laks, tilberedt/konservert, hel/stykker, ikke gravet/ikke vakuumpakket*; -   ; 54 ; 163,91 ; -   ; 83 ; 187,85 ; 75 ; 6 597 ; 87,96 
Annen fisk, fersk hel*; 1 ; 62 ; 43,41 ; 2 ; 80 ; 32,07 ; 2 ; 39 ; 17,67 
Snøkrabbe, tørket/saltet, også kokt/røykt; -   ; 31 ; 304,39 ; -   ; 64 ; 300,51 ; -   ; 95 ; 333,40 
Tilapia/malle (pangasius)/karpe/ål/nilabbor/slangehodefisk, tørket/tørket & saltet, ikke filet;;; . ; 1 ; 63 ; 53,64 ; -   ; -   ; . 
Sandskjell/hjerteskjell/arkskjell, levende/fersk; -   ; 3 ; 114,67 ; -   ; 58 ; 130,13 ; 1 ; 75 ; 115,49 
Reker, tilberedt/konservert, ikke pillede fryst/pillede i lake;;; . ; 1 ; 53 ; 46,16 ; 11 ; 860 ; 80,23 
Tilapia/pangasius (malle)/karpe/ål/nilabbor/slangehodefisk, ferskt fiskekjøtt; -   ; 21 ; 94,71 ; 1 ; 47 ; 93,01 ;;; . 
Annen laksefisk, fryst hel*/(før 2012: Laks, stillehavs-, ikke indian-laks (sockeye), fryst hel); -   ; 2 ; 75,35 ; 1 ; 46 ; 41,95 ; 1 ; 39 ; 41,03 
Krabbe, ikke kongekrabbe/snøkrabbe, levende; -   ; 40 ; 730,78 ; -   ; 40 ; 730,78 ; -   ; 1 ; 92,81 
Annen fisk, saltet filet;;; . ; 1 ; 37 ; 31,19 ; -   ; -   ; . 
Reker, tilberedt/konservert, vakuumpakket, ikke pillede fryst/pillede i lake;;; . ; -   ; 36 ; 125,24 ; -   ; -   ; . 
Østers, tilberedt/konservert; -   ; 5 ; 281,56 ; -   ; 31 ; 259,21 ;;; . 
Annen fisk, fryst filet; -   ; 21 ; 94,67 ; -   ; 29 ; 90,96 ; 2 ; 189 ; 91,30 
Andre fiskeprodukter, tilberedt/konservert, ikke hel/stykker, fryst*; -   ; 1 ; 175,00 ; -   ; 28 ; 97,45 ; 1 ; 158 ; 106,90 
Uer, fryst filet;;; . ; 1 ; 28 ; 39,53 ;;; . 
Tunge, fersk hel*; -   ; 3 ; 98,10 ; -   ; 25 ; 140,06 ; -   ; 16 ; 143,82 
Annen fisk, saltet hel*;;; . ; -   ; 24 ; 104,00 ; 1 ; 50 ; 80,68 
Hummer, fryst; -   ; 7 ; 530,15 ; -   ; 24 ; 429,27 ; -   ; 95 ; 377,37 
Annen flyndrefisk, fryst hel*; 1 ; 12 ; 10,82 ; 2 ; 24 ; 10,71 ; -   ; 14 ; 170,76 
Reker, ikke kaldtvanns-, fryst; -   ; 2 ; 153,92 ; -   ; 23 ; 118,10 ; -   ; 10 ; 120,96 
Makrell, fersk hel*; -   ; 17 ; 65,77 ; -   ; 20 ; 64,50 ; 80 ; 8 ; 0,10 
Pelagisk fisk, tørrfisk/klippfisk;;; . ; -   ; 20 ; 88,91 ;;; . 
Sandskjell/hjerteskjell/arkskjell, fryst;;; . ; -   ; 17 ; 123,61 ;;; . 
Taggmakrell andre;;; . ; -   ; 14 ; 203,51 ; -   ; 7 ; 223,13 
Kamskjell, tørket/saltet, også røykt*; -   ; 9 ; 485,00 ; -   ; 14 ; 168,20 ;;; . 
Laks, atlanterhavs-/donau-, ikke oppdrettet, fersk hel*; 2 ; 12 ; 6,50 ; 2 ; 12 ; 6,50 ; -   ; -   ; . 
Reker, tørket/saltet, også røykt; -   ; 12 ; 300,05 ; -   ; 12 ; 300,05 ;;; . 
Alaska pollock, fersk hel*; -   ; 2 ; 98,23 ; -   ; 11 ; 108,29 ; 1 ; 88 ; 77,59 
