"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Norway","2011","Oysters, whether/not in shell, live/fresh/chilled/frozen/dried/salted/in brine","Export","15473","411","Weight in kilograms","411"
"Norway","2011","Oysters, whether/not in shell, live/fresh/chilled/frozen/dried/salted/in brine","Import","559567","53633","Weight in kilograms","53633"
"Norway","2011","Molluscs; scallops and other molluscs of the family Pectinidae, whether in shell or not, live, fresh or chilled","Export","4324725","559700","Weight in kilograms","559700"
"Norway","2011","Molluscs; scallops and other molluscs of the family Pectinidae, whether in shell or not, live, fresh or chilled","Import","2960348","154001","Weight in kilograms","154001"
"Norway","2011","Molluscs; scallops and other molluscs of the family Pectinidae, whether in shell or not, dried, salted, in brine, or smoked, cooked or not before or during the smoking process","Export","736982","27888","Weight in kilograms","27888"
"Norway","2011","Molluscs; scallops and other molluscs of the family Pectinidae, whether in shell or not, dried, salted, in brine, or smoked, cooked or not before or during the smoking process","Import","4872068","245884","Weight in kilograms","245884"
"Norway","2011","Molluscs; mussels (Mytilus spp., Perna spp.), whether in shell or not, live, fresh or chilled","Export","721524","205415","Weight in kilograms","205415"
"Norway","2011","Molluscs; mussels (Mytilus spp., Perna spp.), whether in shell or not, live, fresh or chilled","Import","361822","96778","Weight in kilograms","96778"
"Norway","2011","Molluscs; mussels (Mytilus spp., Perna spp.), whether in shell or not, dried, salted, in brine, or smoked, cooked or not before or during the smoking process","Export","113991","26576","Weight in kilograms","26576"
"Norway","2011","Molluscs; mussels (Mytilus spp., Perna spp.), whether in shell or not, dried, salted, in brine, or smoked, cooked or not before or during the smoking process","Import","74778","14527","Weight in kilograms","14527"
"Norway","2011","Molluscs; cuttle fish and squid, whether in shell or not, live, fresh or chilled","Export","1994","291","Weight in kilograms","291"
"Norway","2011","Molluscs; cuttle fish and squid, whether in shell or not, live, fresh or chilled","Import","12472","1922","Weight in kilograms","1922"
"Norway","2011","Molluscs; cuttle fish and squid, whether in shell or not, dried, salted, in brine, or smoked, cooked or not before or during the smoking process","Export","112473","32623","Weight in kilograms","32623"
"Norway","2011","Molluscs; cuttle fish and squid, whether in shell or not, dried, salted, in brine, or smoked, cooked or not before or during the smoking process","Import","543821","98477","Weight in kilograms","98477"
"Norway","2011","Molluscs; octopus (Octopus spp.), live, fresh or chilled","Import","19488","750","Weight in kilograms","750"
"Norway","2011","Molluscs; octopus (Octopus spp.), dried, salted, in brine, or smoked, cooked or not before or during the smoking process","Import","179427","27319","Weight in kilograms","27319"
"Norway","2011","Molluscs; snails, other than sea snails, whether in shell or not, live, fresh, chilled, frozen, dried, salted, in brine, or smoked, cooked or not before or during the smoking process","Import","15963","2567","Weight in kilograms","2567"
"Norway","2011","Molluscs; n.e.c. in heading 0307, whether in shell or not, live or fresh, chilled","Export","55285","10782","Weight in kilograms","10782"
"Norway","2011","Molluscs; n.e.c. in heading 0307, whether in shell or not, live or fresh, chilled","Import","170153","21134","Weight in kilograms","21134"
"Norway","2011","Molluscs; n.e.c. in heading 0307, whether in shell or not, dried, salted, in brine, or smoked, cooked or not before or during the smoking process","Export","361980","9198","Weight in kilograms","9198"
"Norway","2011","Molluscs; n.e.c. in heading 0307, whether in shell or not, dried, salted, in brine, or smoked, cooked or not before or during the smoking process","Import","529032","30196","Weight in kilograms","30196"
"Norway","2010","Live ornamental fish","Import","4395134","101954","Weight in kilograms","101954"
"Norway","2010","Fish; live, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)","Import","28996","2650","Weight in kilograms","2650"
"Norway","2010","Fish; live, eels (Anguilla spp.)","Export","265808","31692","Weight in kilograms","31692"
"Norway","2010","Fish; live, carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)","Import","40276","663","Weight in kilograms","663"
"Norway","2010","Fish; live, n.e.c. in heading 0301","Export","6995153","259794","Weight in kilograms","259794"
"Norway","2010","Fish; live, n.e.c. in heading 0301","Import","5976587","388134","Weight in kilograms","388134"
